pathway_id,pathway_name,database,nes_WT_heat,padj_WT_heat,nes_KO_heat,padj_KO_heat,nes_interaction,padj_interaction,sig_interaction,pattern,nes_temp_main,nes_geno_main
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,Regulation of Receptor Signaling Pathway via STAT,GO_BP,-0.939311882,0.635549233,-1.1128629,0.424198997,1.35999813,0.436869295,False,shared_heat,-0.962469766,0.944655959
GOBP_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,Regulation of Regulated Secretory Pathway,GO_BP,1.08123433,0.444789831,0.997283979,0.551772694,0.78298248,0.993239208,False,shared_heat,1.02403583,-1.24847202
GOBP_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,Regulation of Release of Cytochrome C from Mitochondria,GO_BP,1.18423976,0.347679663,1.23509096,0.321109226,-0.988715404,0.866997263,False,shared_heat,1.25319491,-1.45514161
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,Regulation of Release of Sequestered Calcium Ion Into Cytosol,GO_BP,-1.56077515,0.0709691037,-1.42461395,0.15952388,-1.05615178,0.814452421,False,shared_heat,-1.45073849,-1.54001223
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS,Regulation of Reproductive Process,GO_BP,1.442087,0.104750096,1.4034115,0.147238572,-0.865991928,0.959402271,False,shared_heat,1.41456218,0.765006989
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Regulation of Response to Biotic Stimulus,GO_BP,-1.16697541,0.231139834,-1.44931499,0.0259978611,2.02654863,7.37012876e-07,True,KO_only,-1.31389257,2.28679878
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,Regulation of Response to Cytokine Stimulus,GO_BP,1.35580071,0.11564305,-1.11944336,0.394184911,1.9329532,0.00184613382,True,sign_reversal,1.10714766,2.57491929
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Regulation of Response to Endoplasmic Reticulum Stress,GO_BP,1.10943377,0.407251267,1.05497912,0.482624827,1.03348388,0.839590835,False,shared_heat,1.13099329,-1.19617657
GOBP_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,Regulation of Response to Oxidative Stress,GO_BP,1.0237662,0.527871896,1.03633453,0.520021503,-0.783730994,0.980529725,False,shared_heat,1.02086895,0.578070966
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING,Regulation of Response to Wounding,GO_BP,1.82327651,0.00335494291,1.79185742,0.00670403133,0.697221984,0.999948662,False,shared_heat,1.78191985,1.20264865
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Regulation of rho Protein Signal Transduction,GO_BP,1.29162951,0.234671432,1.2165557,0.329835333,0.976373886,0.877635327,False,shared_heat,1.24594194,1.29390085
GOBP_REGULATION_OF_RNA_SPLICING,Regulation of RNA Splicing,GO_BP,-0.893741373,0.704613446,-0.894131725,0.706451574,0.876415931,0.950388983,False,shared_heat,0.849983936,0.74271517
GOBP_REGULATION_OF_SECRETION,Regulation of Secretion,GO_BP,1.83352069,7.96078157e-05,1.6253502,0.00222091663,1.41782126,0.179189925,False,shared_heat,1.6760132,-1.117365
