"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Epor",FALSE,TRUE,2.38617336,"CollecTRI-only",2.38617336,TRUE
"Ncor2",FALSE,TRUE,-2.38232108,"CollecTRI-only",2.38232108,TRUE
"Atrip",FALSE,TRUE,2.37998024,"CollecTRI-only",2.37998024,TRUE
"Ptger1",FALSE,TRUE,-2.31957064,"CollecTRI-only",2.31957064,TRUE
"Cp",TRUE,TRUE,-2.31907928,"shared (both)",2.31907928,TRUE
"Tnni3",FALSE,TRUE,-2.28691913,"CollecTRI-only",2.28691913,TRUE
"Gapdh",FALSE,TRUE,-2.27605574,"CollecTRI-only",2.27605574,TRUE
"Senp1",FALSE,TRUE,2.18970934,"CollecTRI-only",2.18970934,TRUE
"Sdhb",FALSE,TRUE,-2.18509695,"CollecTRI-only",2.18509695,TRUE
"Esr1",FALSE,TRUE,2.16849078,"CollecTRI-only",2.16849078,TRUE
"Src",FALSE,TRUE,-2.15375009,"CollecTRI-only",2.15375009,TRUE
"Aqp4",FALSE,TRUE,2.11098599,"CollecTRI-only",2.11098599,TRUE
"Poli",TRUE,FALSE,2.11085919,"DoRothEA-only",2.11085919,TRUE
"Aqp1",TRUE,TRUE,2.0886532,"shared (both)",2.0886532,TRUE
"Hgfac",FALSE,TRUE,-2.076487,"CollecTRI-only",2.076487,TRUE
"Psmc6",FALSE,TRUE,2.05918803,"CollecTRI-only",2.05918803,TRUE
"Hey1",TRUE,TRUE,1.99920773,"shared (both)",1.99920773,FALSE
"Alas2",TRUE,TRUE,-1.98358843,"shared (both)",1.98358843,FALSE
"Rnf7",TRUE,FALSE,1.97881551,"DoRothEA-only",1.97881551,FALSE
"Pmaip1",TRUE,TRUE,1.97332686,"shared (both)",1.97332686,FALSE
"Ptges",FALSE,TRUE,1.94541139,"CollecTRI-only",1.94541139,FALSE
"Met",TRUE,TRUE,1.91219045,"shared (both)",1.91219045,FALSE
"Arnt",FALSE,TRUE,-1.91100054,"CollecTRI-only",1.91100054,FALSE
"Vegfb",TRUE,TRUE,1.89517802,"shared (both)",1.89517802,FALSE
"Gys1",TRUE,TRUE,1.89454558,"shared (both)",1.89454558,FALSE
"Mmp17",FALSE,TRUE,-1.87987092,"CollecTRI-only",1.87987092,FALSE
"Prnp",FALSE,TRUE,-1.85244321,"CollecTRI-only",1.85244321,FALSE
"Egln1",TRUE,TRUE,1.85136711,"shared (both)",1.85136711,FALSE
"Hif1an",FALSE,TRUE,1.84811381,"CollecTRI-only",1.84811381,FALSE
"Bnip3l",TRUE,TRUE,-1.81453926,"shared (both)",1.81453926,FALSE
"Ccnd1",TRUE,TRUE,1.79983993,"shared (both)",1.79983993,FALSE
"Mmp9",FALSE,TRUE,1.77805523,"CollecTRI-only",1.77805523,FALSE
"Ercc6",TRUE,FALSE,1.74961947,"DoRothEA-only",1.74961947,FALSE
"Pdk3",TRUE,TRUE,-1.7293441,"shared (both)",1.7293441,FALSE
"Vasp",FALSE,TRUE,1.70974464,"CollecTRI-only",1.70974464,FALSE
"Pfkfb4",TRUE,TRUE,-1.69806381,"shared (both)",1.69806381,FALSE
"Hsp90ab1",FALSE,TRUE,-1.6864626,"CollecTRI-only",1.6864626,FALSE
"Aldoart2",TRUE,FALSE,1.65552412,"DoRothEA-only",1.65552412,FALSE
"Tgfb3",TRUE,TRUE,-1.64108362,"shared (both)",1.64108362,FALSE
"Crebbp",FALSE,TRUE,-1.62410063,"CollecTRI-only",1.62410063,FALSE
