"tf","target","aligned_contrib","is_stress_contaminant","member_class"
"Stat2","Serpine1",11.2113044,FALSE,"regulon member"
"Stat2","Stat1",-8.31598089,FALSE,"regulon member"
"Stat2","Ptgs2",7.60821714,FALSE,"regulon member"
"Stat2","Rcan1",7.35623747,FALSE,"regulon member"
"Stat2","Scarb2",-16.6611217,FALSE,"regulon member"
"Stat2","Cldn4",7.50802103,FALSE,"regulon member"
"Stat2","Dgke",-5.17308689,FALSE,"regulon member"
"Stat2","Irf7",0.863484974,FALSE,"regulon member"
"Stat2","Jund",9.19026725,FALSE,"regulon member"
"Stat2","Il27",-0.572794401,FALSE,"regulon member"
"Stat2","Hgf",-1.37042147,FALSE,"regulon member"
"Stat2","Mcl1",-3.16876158,FALSE,"regulon member"
