"ID","collection","share_fractional_unpinned","share_winner_take_all_unpinned","share_fractional_anchored","share_winner_take_all_anchored","arm","pinned","status","n_arm_hits","delta_fractional","delta_winner_take_all"
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GO_BP",0.0430575413,0.0321100917,0.0427135046,0.0321100917,"KO_heat_up",FALSE,NA,NA,-0.000344036697,0
"HALLMARK_KRAS_SIGNALING_UP","Hallmark",0.0234563856,0.0137614679,0.0231196301,0.0137614679,"KO_heat_up",FALSE,NA,NA,-0.000336755497,0
"GOMF_CYTOKINE_ACTIVITY","GO_MF",0.027093345,0.123853211,0.0267948158,0.123853211,"KO_heat_up",FALSE,NA,NA,-0.000298529198,0
"HALLMARK_INFLAMMATORY_RESPONSE","Hallmark",0.0217400082,0.0275229358,0.021441479,0.0275229358,"KO_heat_up",FALSE,NA,NA,-0.000298529198,0
"GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GO_BP",0.010097204,0.00458715596,0.00979867482,0.00458715596,"KO_heat_up",FALSE,NA,NA,-0.000298529198,0
"GOBP_TAXIS","GO_BP",0.0235621285,0.0275229358,0.023370997,0.0275229358,"KO_heat_up",FALSE,NA,NA,-0.000191131498,0
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","Reactome",0.0201035585,0.0183486239,0.019912427,0.0183486239,"KO_heat_up",FALSE,NA,NA,-0.000191131498,0
"GOBP_POSITIVE_REGULATION_OF_BONE_RESORPTION","GO_BP",0.00305810398,0,0.00286697248,0,"KO_heat_up",FALSE,NA,NA,-0.000191131498,0
"REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS","Reactome",0.00806574924,0,0.00791284404,0,"KO_heat_up",FALSE,NA,NA,-0.000152905199,0
"GOMF_GROWTH_FACTOR_ACTIVITY","GO_MF",0.0101791175,0,0.0100334935,0,"KO_heat_up",FALSE,NA,NA,-0.000145623999,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark",0.0122471438,0,0.0121015198,0,"KO_heat_up",FALSE,NA,NA,-0.000145623999,0
"GOBP_FIBRINOLYSIS","GO_BP",0.00207348717,0,0.00207348717,0,"KO_heat_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_COAGULATION","GO_BP",0.00551385414,0.00917431193,0.00551385414,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GO_BP",0.0114261885,0.00917431193,0.0114261885,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GO_BP",0.0181574924,0.0321100917,0.0181574924,0.0321100917,"KO_heat_up",FALSE,NA,NA,0,0
"GOBP_POSITIVE_REGULATION_OF_BEHAVIOR","GO_BP",0.00840978593,0.00458715596,0.00840978593,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"GOMF_CHEMOKINE_ACTIVITY","GO_MF",0.00283420708,0,0.00283420708,0,"KO_heat_up",FALSE,NA,NA,0,0
"GOMF_GROWTH_FACTOR_BINDING","GO_MF",0.00733944954,0,0.00733944954,0,"KO_heat_up",FALSE,NA,NA,0,0
"GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING","GO_MF",0.0134993447,0.00458715596,0.0134993447,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"HALLMARK_ANGIOGENESIS","Hallmark",0.00275229358,0,0.00275229358,0,"KO_heat_up",FALSE,NA,NA,0,0
"HALLMARK_COMPLEMENT","Hallmark",0.0209627401,0.00917431193,0.0209627401,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"HALLMARK_P53_PATHWAY","Hallmark",0.0216106014,0.00917431193,0.0216106014,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"KEGG_GRAFT_VERSUS_HOST_DISEASE","KEGG",0.00750509684,0.00458715596,0.00750509684,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG",0.0127675841,0.00458715596,0.0127675841,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_ATTACHMENT_AND_ENTRY","Reactome",0.00642201835,0.00458715596,0.00642201835,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_EGFR_DOWNREGULATION","Reactome",0.00936544343,0.00917431193,0.00936544343,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_GPCR_LIGAND_BINDING","Reactome",0.0165192224,0.00917431193,0.0165192224,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_INTERLEUKIN_10_SIGNALING","Reactome",0.00655490025,0.00458715596,0.00655490025,0.00458715596,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER","Reactome",0.00684250765,0,0.00684250765,0,"KO_heat_up",FALSE,NA,NA,0,0
"REACTOME_SIGNALING_BY_INTERLEUKINS","Reactome",0.023871414,0.00917431193,0.023871414,0.00917431193,"KO_heat_up",FALSE,NA,NA,0,0
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE","GO_BP",0.0418871252,0,0.0418871252,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_MDA_5_SIGNALING_PATHWAY","GO_BP",0.0162037037,0,0.0162037037,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GO_BP",0.0342592593,0,0.0342592593,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION","GO_BP",0.0252204586,0,0.0252204586,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GO_BP",0.0293209877,0,0.0293209877,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GO_BP",0.0334876543,0,0.0334876543,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS","GO_BP",0.0222222222,0,0.0222222222,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_REGULATION_OF_VIRAL_PROCESS","GO_BP",0.0779982363,0.0555555556,0.0779982363,0.0555555556,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_RESPONSE_TO_TYPE_I_INTERFERON","GO_BP",0.0371031746,0,0.0371031746,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"GOBP_RESPONSE_TO_VIRUS","GO_BP",0.131238977,0.222222222,0.131238977,0.222222222,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"HALLMARK_INFLAMMATORY_RESPONSE","Hallmark",0.0316358025,0,0.0316358025,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark",0.235868607,0.555555556,0.235868607,0.555555556,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"REACTOME_INTERFERON_GAMMA_SIGNALING","Reactome",0.0458333333,0,0.0458333333,0,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"REACTOME_INTERFERON_SIGNALING","Reactome",0.126609347,0.0555555556,0.126609347,0.0555555556,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
"not claimed by any selected set","not claimed by any selected set",0.111111111,0.111111111,0.111111111,0.111111111,"Interaction_fdrOnly_up",FALSE,NA,NA,0,0
