matrix_symbol,current_symbol,entrez_id,resolution,mapped_after_normalisation,normalisation_source,org_mm_eg_db_version
Mpp5,Pals1,56217,accepted,TRUE,org.Mm.eg.db,3.22.0
Mpp6,Pals2,56524,accepted,TRUE,org.Mm.eg.db,3.22.0
Mrvi1,Irag1,17540,accepted,TRUE,org.Mm.eg.db,3.22.0
Myo15,Myo15a,17910,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr1372-ps1,Or2y7,257871,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr1393,Or2y1g,258463,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr1396,Or2v2,258334,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr1420,Or10v1,258405,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr1444,Or5b21,258697,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr156,Or13c7b,29846,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr157,Or13c7c,100040268,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr173,Or5k1,259002,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr266,Or11i1,258482,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr267,Or2k2,258922,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr372,Or2z8,404315,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr373,Or2z9,258532,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr374,Or1ab2,258335,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr524,Or6b13,258055,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr525,Or13a19,258958,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr527,Or12j2,257939,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr543,Or55b3,257947,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr544,Or55b4,257926,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr545,Or55b10,258837,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr549,Or52b3,259105,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr56,Or2v1,18356,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr60,Or13a27,18361,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr753-ps1,Or2h2b,258052,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr755-ps1,Or11a3-ps1,258049,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr90,Or2h2,258469,accepted,TRUE,org.Mm.eg.db,3.22.0
Olfr920,Or8b53,258783,accepted,FALSE,org.Mm.eg.db,3.22.0
Olfr99,Or1o4,258508,accepted,FALSE,org.Mm.eg.db,3.22.0
Pqlc2,Slc66a1,212555,accepted,TRUE,org.Mm.eg.db,3.22.0
Pramef8,Pramel12,242736,accepted,TRUE,org.Mm.eg.db,3.22.0
Qk,Qki,19317,accepted,TRUE,org.Mm.eg.db,3.22.0
Rnf219,Obi1,72486,accepted,TRUE,org.Mm.eg.db,3.22.0
Rnu73b,Snord73b,19871,accepted,FALSE,org.Mm.eg.db,3.22.0
Rpl32-ps,Rpl32-ps1,19952,accepted,FALSE,org.Mm.eg.db,3.22.0
Rpl39-ps,Rpl39-ps1,100503815,accepted,FALSE,org.Mm.eg.db,3.22.0
Skp1a,Skp1,21402,accepted,TRUE,org.Mm.eg.db,3.22.0
Speer1,Speer1a,70896,accepted,FALSE,org.Mm.eg.db,3.22.0
Tctex1d1,Dynlt5,67344,accepted,TRUE,org.Mm.eg.db,3.22.0
Tctex1d2,Dynlt2b,66061,accepted,TRUE,org.Mm.eg.db,3.22.0
Tctex1d4,Dynlt4,242646,accepted,TRUE,org.Mm.eg.db,3.22.0
Tmem189,Peds1,407243,accepted,TRUE,org.Mm.eg.db,3.22.0
Tmem191c,Tmem191,224019,accepted,TRUE,org.Mm.eg.db,3.22.0
Tmem8,Pgap6,60455,accepted,TRUE,org.Mm.eg.db,3.22.0
Tsta3,Gfus,22122,accepted,TRUE,org.Mm.eg.db,3.22.0
Ttc25,Odad4,74407,accepted,TRUE,org.Mm.eg.db,3.22.0
Twistnb,Polr1f,28071,accepted,TRUE,org.Mm.eg.db,3.22.0
Uba52-ps,Uba52-ps1,665964,accepted,FALSE,org.Mm.eg.db,3.22.0
Wars,Wars1,22375,accepted,TRUE,org.Mm.eg.db,3.22.0
Wdr34,Dync2i2,71820,accepted,TRUE,org.Mm.eg.db,3.22.0
Wdr60,Dync2i1,217935,accepted,TRUE,org.Mm.eg.db,3.22.0
Wdr63,Dnai3,242253,accepted,TRUE,org.Mm.eg.db,3.22.0
Wdr78,Dnai4,242584,accepted,TRUE,org.Mm.eg.db,3.22.0
Wdr92,Dnaaf10,103784,accepted,TRUE,org.Mm.eg.db,3.22.0
Zfp781,Zfp781b,331188,accepted,FALSE,org.Mm.eg.db,3.22.0
Znrd1,Polr1h,66136,accepted,TRUE,org.Mm.eg.db,3.22.0
Znrd1as,Polr1has,76416,accepted,FALSE,org.Mm.eg.db,3.22.0
H2aw,H2ac25,319162,flagged_for_review,FALSE,org.Mm.eg.db,3.22.0
Ndufb1-ps,Ndufb1,102631912,flagged_for_review,FALSE,org.Mm.eg.db,3.22.0
