pathway_id,pathway_name,database,contrast,nes,pvalue,padj,set_size,core_enrichment,direction
TF_Arid1b,Arid1b,CollecTRI,Geno_at_39,0.49755907187425974,0.6188004172197681,0.9735316498736958,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Up
TF_Arid1b,Arid1b,CollecTRI,Geno_main,0.7674919036059732,0.44279831424060767,0.9714496507023326,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Up
TF_Arid1b,Arid1b,CollecTRI,Interaction,-0.09591842458384,0.9235863381352427,0.9935613412509966,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Down
TF_Arid1b,Arid1b,CollecTRI,KO_heat,-0.34763329863631437,0.7281193138142015,0.843233742598262,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Down
TF_Arid1b,Arid1b,CollecTRI,Temp_main,-0.37325477893917114,0.7089628503275183,0.8383486227199064,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Down
TF_Arid1b,Arid1b,CollecTRI,WT_heat,-0.38951466025461656,0.6968996834071315,0.8277256167543187,5,Ncam1/Tnfrsf10b/Il2ra/Cr2/Smarca4,Down
TF_Arid3a,Arid3a,CollecTRI,Geno_at_37,0.30686830491418543,0.7589468620382815,0.9862293469784355,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
TF_Arid3a,Arid3a,CollecTRI,Geno_at_39,1.7449147207255906,0.08101532554549115,0.7444440290460674,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
TF_Arid3a,Arid3a,CollecTRI,Geno_main,1.3917403275221458,0.1640167770820353,0.9287918794530866,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
TF_Arid3a,Arid3a,CollecTRI,Interaction,1.234756678678657,0.21693581904868706,0.8691229053516896,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
TF_Arid3a,Arid3a,CollecTRI,KO_heat,1.0954058691356312,0.27335227117353,0.5124381607754495,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
TF_Arid3a,Arid3a,CollecTRI,Temp_main,1.3306191719684617,0.18332977018689953,0.42278159278385424,7,Cdkn1a/Cdc6/Cdk1/Cr2/E2f1/Pml/Rbl1,Up
