"arm","ontology","iea_variant","ID","cluster_id","Description","p.adjust","Count","cluster_size","cluster_representative","cluster_min_padj"
"WT_heat_up","BP","with_iea","GO:0034103",17,"regulation of tissue remodeling",0.00584242890728966,6,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0001822",1,"kidney development",0.00584242890728966,12,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0030217",18,"T cell differentiation",0.00600470295228694,14,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0050678",12,"regulation of epithelial cell proliferation",0.00610990169948484,13,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0042742",15,"defense response to bacterium",0.0062750803017314,11,8,"response to bacterium",0.000947414405690874
"WT_heat_up","BP","with_iea","GO:0035051",1,"cardiocyte differentiation",0.00636045457775412,8,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:2001234",6,"negative regulation of apoptotic signaling pathway",0.00646173529521681,11,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0050819",17,"negative regulation of coagulation",0.00652573797439614,5,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0032943",12,"mononuclear cell proliferation",0.00652573797439614,13,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0042063",18,"gliogenesis",0.00652573797439614,13,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0050863",9,"regulation of T cell activation",0.00669383382849691,15,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0043408",6,"regulation of MAPK cascade",0.00691296622894491,19,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0072001",1,"renal system development",0.00691296622894491,12,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0033002",12,"muscle cell proliferation",0.00691296622894491,10,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0003073",11,"regulation of systemic arterial blood pressure",0.00691296622894491,6,15,"regulation of body fluid levels",0.000326939861902462
"WT_heat_up","BP","with_iea","GO:0061564",20,"axon development",0.00691296622894491,16,8,"axonogenesis",0.00282363647065884
"WT_heat_up","BP","with_iea","GO:0140353",24,"lipid export from cell",0.00691296622894491,5,6,"lipid export from cell",0.00691296622894491
"WT_heat_up","BP","with_iea","GO:0150077",7,"regulation of neuroinflammatory response",0.00691296622894491,5,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:2000403",2,"positive regulation of lymphocyte migration",0.00691296622894491,5,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0045927",14,"positive regulation of growth",0.00699606584441784,11,8,"positive regulation of cell growth",0.000846924741030785
"WT_heat_up","BP","with_iea","GO:0097529",2,"myeloid leukocyte migration",0.00741942356373083,10,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0048545",25,"response to steroid hormone",0.00745193618297709,13,6,"response to steroid hormone",0.00745193618297709
"WT_heat_up","BP","with_iea","GO:2000401",2,"regulation of lymphocyte migration",0.00807385630655643,6,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0042100",9,"B cell proliferation",0.00827244937827896,7,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0051046",16,"regulation of secretion",0.00836846787770522,18,12,"positive regulation of secretion by cell",0.00110278628228388
"WT_heat_up","BP","with_iea","GO:0032102",7,"negative regulation of response to external stimulus",0.00844706056765047,14,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0002675",7,"positive regulation of acute inflammatory response",0.00849628519012052,4,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0016049",12,"cell growth",0.00869093620912785,16,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0043523",19,"regulation of neuron apoptotic process",0.00887223630279904,11,7,"positive regulation of programmed cell death",0.00148903823093093
"WT_heat_up","BP","with_iea","GO:0001935",12,"endothelial cell proliferation",0.00887223630279904,8,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0003014",8,"renal system process",0.00907284616229905,7,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:0043588",1,"skin development",0.00907284616229905,11,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0042102",9,"positive regulation of T cell proliferation",0.00966881620857953,7,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0032352",21,"positive regulation of hormone metabolic process",0.00969015711528648,3,7,"regulation of lipid biosynthetic process",0.00344161916400282
"WT_heat_up","BP","with_iea","GO:0048245",2,"eosinophil chemotaxis",0.00969015711528648,3,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0035914",18,"skeletal muscle cell differentiation",0.00969015711528648,6,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0046631",9,"alpha-beta T cell activation",0.00969491704905419,10,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0090066",11,"regulation of anatomical structure size",0.0108117714631091,16,15,"regulation of body fluid levels",0.000326939861902462
