"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
57,"GO:0070372","regulation of ERK1 and ERK2 cascade",204,13,0.00124790886,0.0454772614,0.2775,8.0485,FALSE
58,"GO:0048568","embryonic organ development",301,16,0.00132778847,0.0269865067,0.242,9.843,TRUE
59,"GO:0051047","positive regulation of secretion",237,14,0.00135565743,0.0339830085,0.2315,8.4355,FALSE
60,"GO:0043068","positive regulation of programmed cell death",445,20,0.00137951953,0.100949525,0.446,15.093,TRUE
61,"GO:1904018","positive regulation of vasculature development",123,10,0.00137951953,0.015992004,0.158585859,4.716,FALSE
62,"GO:1903034","regulation of response to wounding",124,10,0.00141154697,0.0134932534,0.130478589,4.639,TRUE
63,"GO:2001235","positive regulation of apoptotic signaling pathway",124,10,0.00141154697,0.0109945027,0.116396761,4.448,FALSE
64,"GO:0006898","receptor-mediated endocytosis",209,13,0.00141292621,0.00449775112,0.0485728593,5.6105,TRUE
65,"GO:0072677","eosinophil migration",12,4,0.00141292621,0.000499750125,0.00564971751,0.3015,FALSE
66,"GO:1903039","positive regulation of leukocyte cell-cell adhesion",241,14,0.00145935607,0.115942029,0.429,10.0245,FALSE
67,"GO:0040008","regulation of growth",451,20,0.00152021822,0.0994502749,0.4425,15.0205,TRUE
68,"GO:0042110","T cell activation",493,21,0.00169866519,0.31934033,0.7095,18.758,TRUE
69,"GO:0001558","regulation of cell growth",315,16,0.00193940534,0.0349825087,0.2225,10.014,FALSE
70,"GO:0048260","positive regulation of receptor-mediated endocytosis",41,6,0.00197105824,0.0019990005,0.0263665595,1.393,TRUE
71,"GO:0048858","cell projection morphogenesis",500,21,0.0019983845,0.0594702649,0.2745,14.5895,TRUE
72,"GO:1903131","mononuclear cell differentiation",463,20,0.0020497819,0.286856572,0.681,17.59,FALSE
73,"GO:1903037","regulation of leukocyte cell-cell adhesion",318,16,0.00205443991,0.212393803,0.5605,12.9885,FALSE
74,"GO:0043065","positive regulation of apoptotic process",430,19,0.00230691928,0.11894053,0.4215,14.5005,FALSE
75,"GO:0048520","positive regulation of behavior",14,4,0.00237309078,0.000499750125,0.0120274914,0.332,TRUE
76,"GO:0050870","positive regulation of T cell activation",223,13,0.00237309078,0.133433283,0.446,9.4615,FALSE
77,"GO:0002009","morphogenesis of an epithelium",362,17,0.00252410167,0.125937031,0.4145,12.8485,FALSE
78,"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",110,9,0.00252410167,0.00149925037,0.0123390558,2.6645,FALSE
79,"GO:0007409","axonogenesis",327,16,0.00252410167,0.0404797601,0.1855,9.957,FALSE
80,"GO:0007498","mesoderm development",86,8,0.00252410167,0.0114942529,0.0722828913,3.059,FALSE
81,"GO:0007507","heart development",437,19,0.00252410167,0.171414293,0.5055,15.3505,FALSE
82,"GO:0050679","positive regulation of epithelial cell proliferation",136,10,0.00252410167,0.0329835082,0.148946841,5.401,TRUE
83,"GO:0050795","regulation of behavior",44,6,0.00252410167,0.00249875062,0.0186976144,1.417,FALSE
84,"GO:0051251","positive regulation of lymphocyte activation",291,15,0.00252410167,0.223888056,0.5775,12.2665,FALSE
85,"GO:0002274","myeloid leukocyte activation",196,12,0.00254980731,0.0554722639,0.2395,7.3475,TRUE
86,"GO:0051249","regulation of lymphocyte activation",438,19,0.00254980731,0.378310845,0.6985,17.4025,FALSE
87,"GO:0070665","positive regulation of leukocyte proliferation",138,10,0.00255892366,0.0584707646,0.221442886,5.85,TRUE
88,"GO:0002443","leukocyte mediated immunity",331,16,0.00273805826,0.117441279,0.3645,11.6895,TRUE
89,"GO:0048812","neuron projection morphogenesis",480,20,0.00273805826,0.0714642679,0.2645,14.119,FALSE
90,"GO:0070371","ERK1 and ERK2 cascade",230,13,0.00274984131,0.100449775,0.3505,9.0555,FALSE
91,"GO:0060537","muscle tissue development",297,15,0.00275062053,0.0784607696,0.291,10.2345,FALSE
92,"GO:0008217","regulation of blood pressure",115,9,0.00307645649,0.0099950025,0.0616649538,3.6125,TRUE
93,"GO:0046890","regulation of lipid biosynthetic process",142,10,0.00307645649,0.0234882559,0.124623116,5.033,TRUE
94,"GO:0030900","forebrain development",268,14,0.00324967356,0.0509745127,0.2145,8.8825,TRUE
95,"GO:0048259","regulation of receptor-mediated endocytosis",91,8,0.00331221791,0.0059970015,0.0390913893,2.7385,FALSE
96,"GO:0003013","circulatory system process",413,18,0.00336683639,0.0854572714,0.2955,12.9875,TRUE
