"ID","term_size","k_obs","p_obs_recomputed","q_obs_recomputed","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q","arm","ontology","iea_variant","Description","p_adjust_hypergeometric","simplify_kept"
"GO:0019221",424,24,5.62741977916318e-08,1.72250203604022e-05,14.1895,20,0.00299850074962519,0.4005,6.552,0.000499750124937531,0,"WT_heat_up","BP","with_iea","cytokine-mediated signaling pathway",1.72250203604022e-05,TRUE
"GO:0009611",443,24,1.27968755991248e-07,3.31439078017332e-05,14.6245,20,0.00599700149925037,0.4035,6.6075,0.000499750124937531,0,"WT_heat_up","BP","with_iea","response to wounding",3.31439078017332e-05,TRUE
"GO:0060326",228,17,1.18525683637075e-07,3.31439078017332e-05,7.7735,12,0.00349825087456272,0.206103051525763,3.433,0.000499750124937531,0,"WT_heat_up","BP","with_iea","cell chemotaxis",3.31439078017332e-05,TRUE
"GO:0048771",132,13,1.59236786664802e-07,3.82964471928848e-05,4.9115,8,0.000999500249875062,0.114127702362996,1.9185,0.000499750124937531,0,"WT_heat_up","BP","with_iea","tissue remodeling",3.82964471928848e-05,TRUE
"GO:2001233",322,20,1.77845297723178e-07,3.99203411622628e-05,11.2735,17,0.00649675162418791,0.3305,4.872,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of apoptotic signaling pathway",3.99203411622628e-05,TRUE
"GO:0050867",333,20,3.05449909605557e-07,6.42781153526194e-05,13.5065,19,0.0374812593703148,0.595,4.988,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell activation",6.42781153526194e-05,TRUE
"GO:0048729",436,23,3.8385825814415e-07,7.60265150100796e-05,15.1245,21,0.0144927536231884,0.4805,6.515,0.000499750124937531,0,"WT_heat_up","BP","with_iea","tissue morphogenesis",7.60265150100796e-05,TRUE
"GO:0045785",407,22,4.64541412468463e-07,8.68950519878508e-05,15.5365,21,0.0469765117441279,0.597,6.1865,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell adhesion",8.68950519878508e-05,TRUE
"GO:0002696",318,19,6.65370580114207e-07,0.000112015137162227,13.057,19,0.0529735132433783,0.5695,4.7725,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of leukocyte activation",0.000112015137162227,FALSE
"GO:0050727",318,19,6.65370580114207e-07,0.000112015137162227,11.717,17,0.015992003998001,0.3975,4.78,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of inflammatory response",0.000112015137162227,TRUE
"GO:0002694",493,24,8.97652791035862e-07,0.00014392366416275,19.071,25,0.12143928035982,0.744,7.505,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of leukocyte activation",0.00014392366416275,FALSE
"GO:2001236",134,12,1.35097264033502e-06,0.000206760221818546,4.8665,8.04999999999995,0.00299850074962519,0.12638469284995,1.9715,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of extrinsic apoptotic signaling pathway",0.000206760221818546,FALSE
"GO:0042060",342,19,1.98095649993324e-06,0.000289994805881532,11.0395,16,0.0114942528735632,0.2605,5.107,0.000499750124937531,0,"WT_heat_up","BP","with_iea","wound healing",0.000289994805881532,FALSE
"GO:0050878",280,17,2.13559076463585e-06,0.000299605587688705,8.433,13,0.00549725137431284,0.1325,4.179,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of body fluid levels",0.000299605587688705,TRUE
"GO:0070661",287,17,2.98700906473585e-06,0.000402290380838624,11.4375,16,0.0419790104947526,0.4795,4.3495,0.000499750124937531,0,"WT_heat_up","BP","with_iea","leukocyte proliferation",0.000402290380838624,TRUE
"GO:0097191",199,14,3.21691287269574e-06,0.000416590217014099,7.125,11,0.0109945027486257,0.197098549274637,2.985,0.000499750124937531,0,"WT_heat_up","BP","with_iea","extrinsic apoptotic signaling pathway",0.000416590217014099,FALSE
"GO:0006959",146,12,3.34653819527469e-06,0.000417325707536662,3.945,7,0.000499750124937531,0.0354969574036511,2.13,0.000499750124937531,0,"WT_heat_up","BP","with_iea","humoral immune response",0.000417325707536662,TRUE
"GO:0007200",84,9,6.77233368105842e-06,0.000735562822713667,2.1575,5,0.000499750124937531,0.021336327905671,1.2235,0.000499750124937531,0,"WT_heat_up","BP","with_iea","phospholipase C-activating G protein-coupled receptor signaling pathway",0.000735562822713667,FALSE
"GO:0016525",84,9,6.77233368105842e-06,0.000735562822713667,2.9345,6,0.00199900049975012,0.0685146443514644,1.195,0.000499750124937531,0,"WT_heat_up","BP","with_iea","negative regulation of angiogenesis",0.000735562822713667,FALSE
"GO:0022407",406,20,6.5508814639198e-06,0.000735562822713667,15.8865,22,0.15192403798101,0.6445,6.199,0.000499750124937531,0,"WT_heat_up","BP","with_iea","regulation of cell-cell adhesion",0.000735562822713667,FALSE
"GO:2000181",84,9,6.77233368105842e-06,0.000735562822713667,2.9345,6,0.00199900049975012,0.0685146443514644,1.195,0.000499750124937531,0,"WT_heat_up","BP","with_iea","negative regulation of blood vessel morphogenesis",0.000735562822713667,FALSE
"GO:0022409",275,16,7.42016490188497e-06,0.000739965710665135,11.029,16,0.0729635182408796,0.4465,4.156,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell-cell adhesion",0.000739965710665135,FALSE
"GO:0030307",131,11,7.04413533122842e-06,0.000739965710665135,4.414,8,0.00449775112443778,0.0842158345940494,1.915,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of cell growth",0.000739965710665135,TRUE
"GO:1901343",85,9,7.47218121847775e-06,0.000739965710665135,2.9445,6,0.00199900049975012,0.0700104493207941,1.209,0.000499750124937531,0,"WT_heat_up","BP","with_iea","negative regulation of vasculature development",0.000739965710665135,FALSE
"GO:0007159",346,18,9.29079995734758e-06,0.000834613425287491,13.832,19,0.130934532733633,0.584,5.274,0.000499750124937531,0,"WT_heat_up","BP","with_iea","leukocyte cell-cell adhesion",0.000834613425287491,TRUE
"GO:0009617",489,22,9.41945653725116e-06,0.000834613425287491,15.59,22,0.056471764117941,0.3805,7.552,0.000499750124937531,0,"WT_heat_up","BP","with_iea","response to bacterium",0.000834613425287491,TRUE
"GO:0045744",48,7,9.41533115584536e-06,0.000834613425287491,1.361,3,0.000499750124937531,0.0151915455746367,0.6365,0.000499750124937531,0,"WT_heat_up","BP","with_iea","negative regulation of G protein-coupled receptor signaling pathway",0.000834613425287491,TRUE
"GO:0050673",312,17,9.10281580988958e-06,0.000834613425287491,11.806,17,0.055472263868066,0.425,4.76,0.000499750124937531,0,"WT_heat_up","BP","with_iea","epithelial cell proliferation",0.000834613425287491,TRUE
"GO:0050729",136,11,1.00948793730116e-05,0.000871524585870005,5.0665,9,0.00699650174912544,0.131155778894472,2.0595,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of inflammatory response",0.000871524585870005,FALSE
"GO:0001707",49,7,1.08390380268573e-05,0.000912376025910717,1.8615,4,0.00249875062468766,0.0359628770301624,0.6655,0.000499750124937531,0,"WT_heat_up","BP","with_iea","mesoderm formation",0.000912376025910717,TRUE
"GO:0048598",423,20,1.2001823776646e-05,0.000985613186730901,13.9055,19,0.0494752623688156,0.379,6.4025,0.000499750124937531,0,"WT_heat_up","BP","with_iea","embryonic morphogenesis",0.000985613186730901,FALSE
"GO:0048332",50,7,1.24365982395769e-05,0.000993770812549309,1.9055,4,0.00349825087456272,0.0426758938869665,0.684,0.000499750124937531,0,"WT_heat_up","BP","with_iea","mesoderm morphogenesis",0.000993770812549309,FALSE
