query_name,gse,gpl,pctVar,pval,size,rank
Q_sig_WT_heat_up,GSE136852,GPL17021,1.61596809,NA,80,332
Q_sig_WT_heat_up,GSE165916,GPL17021,1.61571212,NA,101,333
Q_sig_WT_heat_up,GSE182091,GPL24247,1.61498151,NA,81,334
Q_sig_WT_heat_up,GSE232405,GPL24247,1.6130856,NA,75,335
Q_sig_WT_heat_up,GSE23508,GPL7202,1.61196402,NA,83,336
Q_sig_WT_heat_up,GSE121251,GPL21273,1.60928683,NA,66,337
Q_sig_WT_heat_up,GSE97399,GPL13112,1.60438224,NA,92,338
Q_sig_WT_heat_up,GSE203050,GPL19057,1.60413468,NA,84,339
Q_sig_WT_heat_up,GSE178881,GPL24247,1.60046546,NA,87,340
Q_sig_WT_heat_up,GSE217659,GPL24247,1.60041843,NA,92,341
Q_sig_WT_heat_up,GSE121292,GPL21493,1.59905587,NA,66,342
Q_sig_WT_heat_up,GSE178258,GPL24247,1.59783731,NA,86,343
Q_sig_WT_heat_up,GSE39886,GPL1261,1.59706066,NA,100,344
Q_sig_WT_heat_up,GSE62107,GPL1261,1.59598471,NA,82,345
Q_sig_WT_heat_up,GSE101546,GPL21493,1.59539089,NA,112,346
Q_sig_WT_heat_up,GSE123966,GPL19057,1.5934831,NA,108,347
Q_sig_WT_heat_up,GSE83978,GPL17021,1.58932814,NA,61,348
Q_sig_WT_heat_up,GSE207609,GPL19057,1.58757309,NA,93,349
Q_sig_WT_heat_up,GSE109735,GPL6246,1.57815716,NA,91,350
Q_sig_WT_heat_up,GSE62999,GPL1261,1.57770878,NA,100,351
Q_sig_WT_heat_up,GSE223087,GPL19057,1.57683906,NA,95,352
Q_sig_WT_heat_up,GSE125446,GPL13112,1.57483804,NA,82,353
Q_sig_WT_heat_up,GSE26030,GPL6246,1.57363539,NA,79,354
Q_sig_WT_heat_up,GSE101902,GPL13112,1.57223128,NA,77,355
