"tf","regulon_class","target","mor","t_wt","aligned_contrib","is_stress_contaminant"
"Hif1a","promiscuous","Ikbkb",1,-4.62578887899526,-4.62578887899526,FALSE
"Hif1a","promiscuous","Pten",1,-4.63382781522554,-4.63382781522554,FALSE
"Hif1a","promiscuous","App",1,-4.86068325182062,-4.86068325182062,FALSE
"Hif1a","promiscuous","Fech",1,-4.92295236945806,-4.92295236945806,FALSE
"Hif1a","promiscuous","Qsox1",1,-4.93820108679233,-4.93820108679233,FALSE
"Hif1a","promiscuous","Cox4i1",1,-4.93986929907876,-4.93986929907876,FALSE
"Hif1a","promiscuous","Tm9sf4",-1,4.95909349631266,-4.95909349631266,FALSE
"Hif1a","promiscuous","Mad1l1",1,-5.06650413548456,-5.06650413548456,FALSE
"Hif1a","promiscuous","Kdm5a",1,-5.12400834196078,-5.12400834196078,FALSE
"Hif1a","promiscuous","Fasn",1,-5.24567747968479,-5.24567747968479,FALSE
"Hif1a","promiscuous","Trp53",1,-5.30949685529192,-5.30949685529192,FALSE
"Hif1a","promiscuous","Dnase1",1,-5.35269763596927,-5.35269763596927,FALSE
"Hif1a","promiscuous","Prmt1",1,-5.42759803619619,-5.42759803619619,FALSE
"Hif1a","promiscuous","Sp1",-1,5.47154245417112,-5.47154245417112,FALSE
"Hif1a","promiscuous","Apln",1,-5.59297403839713,-5.59297403839713,FALSE
"Hif1a","promiscuous","Abl1",1,-5.66066284055482,-5.66066284055482,FALSE
"Hif1a","promiscuous","Cxcr4",1,-5.75780146102391,-5.75780146102391,FALSE
"Hif1a","promiscuous","Cybb",1,-6.00850930572522,-6.00850930572522,FALSE
"Hif1a","promiscuous","Xpc",1,-6.11794462121182,-6.11794462121182,FALSE
"Hif1a","promiscuous","Ass1",1,-6.15310839134756,-6.15310839134756,FALSE
"Hif1a","promiscuous","Kdm4b",1,-6.22222729329121,-6.22222729329121,FALSE
"Hif1a","promiscuous","Timp2",1,-6.37389555952042,-6.37389555952042,FALSE
"Hif1a","promiscuous","Nrp2",-1,6.41956917135209,-6.41956917135209,FALSE
