"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Mapk14",-1.36667792231174,-1.36667792231174,"other_unclassified","unclassified","Down"
"Hif1a","Edn1",-1.3700518042939,-1.3700518042939,"other_unclassified","unclassified","Down"
"Hif1a","Hgf",-1.37042146992409,-1.37042146992409,"other_unclassified","unclassified","Down"
"Hif1a","Ucp2",-1.4106007409578,-1.4106007409578,"other_unclassified","unclassified","Down"
"Hif1a","Mapk1",-1.49940927968765,-1.49940927968765,"other_unclassified","unclassified","Down"
"Hif1a","Pik3r1",-1.5425620355197,-1.5425620355197,"other_unclassified","unclassified","Down"
"Hif1a","Crebbp",-1.6241006297964,-1.6241006297964,"other_unclassified","unclassified","Down"
"Hif1a","Tgfb3",-1.64108361844578,-1.64108361844578,"other_unclassified","unclassified","Down"
"Hif1a","Hsp90ab1",-1.68646259603971,-1.68646259603971,"other_unclassified","unclassified","Down"
"Hif1a","Pfkfb4",-1.6980638116214,-1.6980638116214,"other_unclassified","unclassified","Down"
"Hif1a","Pdk3",-1.72934409667142,-1.72934409667142,"other_unclassified","unclassified","Down"
"Hif1a","Prnp",-1.85244320641332,-1.85244320641332,"other_unclassified","unclassified","Down"
"Hif1a","Mmp17",-1.87987091569244,-1.87987091569244,"other_unclassified","unclassified","Down"
"Hif1a","Arnt",-1.91100053563526,-1.91100053563526,"other_unclassified","unclassified","Down"
"Hif1a","Alas2",-1.98358842522841,-1.98358842522841,"other_unclassified","unclassified","Down"
"Hif1a","Hgfac",-2.07648699790598,-2.07648699790598,"other_unclassified","unclassified","Down"
"Hif1a","Src",-2.15375009059343,-2.15375009059343,"other_unclassified","unclassified","Down"
"Hif1a","Senp1",2.18970934346218,-2.18970934346218,"other_unclassified","unclassified","Down"
"Hif1a","Gapdh",-2.27605573933245,-2.27605573933245,"other_unclassified","unclassified","Down"
"Hif1a","Tnni3",-2.28691912759401,-2.28691912759401,"other_unclassified","unclassified","Down"
"Hif1a","Cp",-2.31907927644443,-2.31907927644443,"other_unclassified","unclassified","Down"
"Hif1a","Ptger1",-2.3195706396558,-2.3195706396558,"other_unclassified","unclassified","Down"
"Hif1a","Ncor2",-2.38232108441185,-2.38232108441185,"other_unclassified","unclassified","Down"
"Hif1a","Kdm1a",2.41881589981296,-2.41881589981296,"other_unclassified","unclassified","Down"
"Hif1a","Apc",2.46865244145749,-2.46865244145749,"other_unclassified","unclassified","Down"
"Hif1a","Polm",-2.47564902282584,-2.47564902282584,"other_unclassified","unclassified","Down"
"Hif1a","Vim",-2.57465498678175,-2.57465498678175,"other_unclassified","unclassified","Down"
