"source","target","mor","t_wt","contrib","class"
"Hif1a","Grin1",1,-0.37927251054663,-0.37927251054663,"other"
"Hif1a","Igf2bp1",1,-0.471418105721869,-0.471418105721869,"other"
"Hif1a","Setd2",1,-0.537595586794861,-0.537595586794861,"other"
"Hif1a","Ang",1,-0.546937980886621,-0.546937980886621,"other"
"Hif1a","Stc1",1,-0.554744435859679,-0.554744435859679,"other"
"Hif1a","Pepd",1,-0.636263417196242,-0.636263417196242,"other"
"Hif1a","Il1b",1,-0.644973480197618,-0.644973480197618,"other"
"Hif1a","Afp",1,-0.667009926959797,-0.667009926959797,"other"
"Hif1a","Tubb3",1,-0.713587880740794,-0.713587880740794,"other"
"Hif1a","Fbln5",1,-0.721001168649866,-0.721001168649866,"other"
"Hif1a","Muc3a",1,-0.743710155250621,-0.743710155250621,"other"
"Hif1a","Arc",1,-0.806964071084402,-0.806964071084402,"other"
"Hif1a","Rbms1",1,-0.902554081828641,-0.902554081828641,"other"
"Hif1a","Hs2st1",1,-0.956234097346068,-0.956234097346068,"other"
"Hif1a","Kdr",1,-0.980218700331007,-0.980218700331007,"other"
"Hif1a","Pfkfb1",1,-1.02762097980364,-1.02762097980364,"other"
"Hif1a","Tnfsf13b",1,-1.02892486482858,-1.02892486482858,"other"
"Hif1a","Hmox2",1,-1.06794043844966,-1.06794043844966,"other"
"Hif1a","Rapgef3",1,-1.0685245761739,-1.0685245761739,"other"
"Hif1a","Bhlhe41",1,-1.08652805101899,-1.08652805101899,"other"
"Hif1a","Ccna2",1,-1.0956458413725,-1.0956458413725,"other"
"Hif1a","Lifr",-1,1.09980708889036,-1.09980708889036,"other"
"Hif1a","Hdc",1,-1.13383094296413,-1.13383094296413,"other"
"Hif1a","Rac1",1,-1.14533642064613,-1.14533642064613,"other"
"Hif1a","Trf",1,-1.15238568219917,-1.15238568219917,"other"
"Hif1a","Kitl",1,-1.15838799347125,-1.15838799347125,"other"
"Hif1a","Slc29a2",1,-1.26173359936352,-1.26173359936352,"other"
"Hif1a","Jun",1,-1.26834547682528,-1.26834547682528,"other"
"Hif1a","Nampt",1,-1.30202889915064,-1.30202889915064,"other"
"Hif1a","Nt5e",1,-1.33918837595791,-1.33918837595791,"other"
"Hif1a","Cited2",1,-1.36637299865587,-1.36637299865587,"other"
"Hif1a","Mapk14",1,-1.36667792231174,-1.36667792231174,"other"
"Hif1a","Edn1",1,-1.3700518042939,-1.3700518042939,"other"
"Hif1a","Hgf",1,-1.37042146992409,-1.37042146992409,"other"
"Hif1a","Ucp2",1,-1.4106007409578,-1.4106007409578,"other"
"Hif1a","Mapk1",1,-1.49940927968765,-1.49940927968765,"other"
"Hif1a","Pik3r1",1,-1.5425620355197,-1.5425620355197,"other"
"Hif1a","Crebbp",1,-1.6241006297964,-1.6241006297964,"other"
"Hif1a","Tgfb3",1,-1.64108361844578,-1.64108361844578,"other"
"Hif1a","Hsp90ab1",1,-1.68646259603971,-1.68646259603971,"other"
"Hif1a","Pfkfb4",1,-1.6980638116214,-1.6980638116214,"other"
"Hif1a","Pdk3",1,-1.72934409667142,-1.72934409667142,"other"
"Hif1a","Prnp",1,-1.85244320641332,-1.85244320641332,"other"
"Hif1a","Mmp17",1,-1.87987091569244,-1.87987091569244,"other"
"Hif1a","Arnt",1,-1.91100053563526,-1.91100053563526,"other"
"Hif1a","Alas2",1,-1.98358842522841,-1.98358842522841,"other"
"Hif1a","Hgfac",1,-2.07648699790598,-2.07648699790598,"other"
"Hif1a","Src",1,-2.15375009059343,-2.15375009059343,"other"
"Hif1a","Senp1",-1,2.18970934346218,-2.18970934346218,"other"
"Hif1a","Gapdh",1,-2.27605573933245,-2.27605573933245,"other"
"Hif1a","Tnni3",1,-2.28691912759401,-2.28691912759401,"other"
"Hif1a","Cp",1,-2.31907927644443,-2.31907927644443,"other"
"Hif1a","Ptger1",1,-2.3195706396558,-2.3195706396558,"other"
"Hif1a","Ncor2",1,-2.38232108441185,-2.38232108441185,"other"
"Hif1a","Kdm1a",-1,2.41881589981296,-2.41881589981296,"other"
"Hif1a","Apc",-1,2.46865244145749,-2.46865244145749,"other"
"Hif1a","Polm",1,-2.47564902282584,-2.47564902282584,"other"
"Hif1a","Vim",1,-2.57465498678175,-2.57465498678175,"other"
"Hif1a","Birc5",1,-2.62046970401772,-2.62046970401772,"other"
"Hif1a","Capg",1,-2.64953941654869,-2.64953941654869,"other"
"Hif1a","Pik3c3",1,-2.74299128780707,-2.74299128780707,"other"
"Hif1a","Plat",1,-2.74518805801711,-2.74518805801711,"other"
"Hif1a","Slc9a1",1,-2.80518924981921,-2.80518924981921,"other"
"Hif1a","Slc11a2",1,-2.88125348122128,-2.88125348122128,"other"
"Hif1a","Cad",1,-2.89392205327488,-2.89392205327488,"other"
"Hif1a","Atp7a",1,-2.9673959754957,-2.9673959754957,"other"
"Hif1a","Xiap",1,-2.99405048491073,-2.99405048491073,"other"
"Hif1a","Wdr83",1,-3.04668367451649,-3.04668367451649,"other"
"Hif1a","Xpa",1,-3.0538423881592,-3.0538423881592,"other"
"Hif1a","Ctsd",1,-3.06312414533807,-3.06312414533807,"other"
"Hif1a","Mcl1",1,-3.16876157769455,-3.16876157769455,"other"
"Hif1a","Zfp667",1,-3.21501172143032,-3.21501172143032,"other"
"Hif1a","Nr3c1",1,-3.2575916579471,-3.2575916579471,"other"
"Hif1a","Bax",1,-3.30682540503532,-3.30682540503532,"other"
