signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Slc41a1,cGASKO_37,37,cGASKO,5,5.4053307,0.0441998776,0.0197667862,-0.856272374
WT_heat_up,Slc41a1,cGASKO_39,39,cGASKO,5,6.69108984,0.109469712,0.0489563435,0.869316828
WT_heat_up,A530013C23Rik,WT_37,37,WT,5,0.759390288,0.083104783,0.0371655888,-0.903923687
WT_heat_up,A530013C23Rik,WT_39,39,WT,5,2.1979231,0.123220095,0.0551057018,0.821227613
WT_heat_up,A530013C23Rik,cGASKO_37,37,cGASKO,5,0.824246857,0.251716781,0.112571167,-0.826144861
WT_heat_up,A530013C23Rik,cGASKO_39,39,cGASKO,5,2.27098025,0.115240456,0.0515370988,0.908840935
WT_heat_up,Ehd2,WT_37,37,WT,5,0.42711545,0.37512006,0.167758791,-0.928551658
WT_heat_up,Ehd2,WT_39,39,WT,5,2.14989448,0.106078694,0.0474398343,0.834188749
WT_heat_up,Ehd2,cGASKO_37,37,cGASKO,5,0.552165869,0.0963910884,0.0431074052,-0.800600584
WT_heat_up,Ehd2,cGASKO_39,39,cGASKO,5,2.20929146,0.133948699,0.0599036793,0.894963493
WT_heat_up,Tnfsf11,WT_37,37,WT,5,5.69957663,0.259130791,0.115886813,-0.858135822
WT_heat_up,Tnfsf11,WT_39,39,WT,5,7.11828019,0.13436263,0.0600887947,0.926221811
WT_heat_up,Tnfsf11,cGASKO_37,37,cGASKO,5,5.68877788,0.105966379,0.0473896051,-0.871717817
WT_heat_up,Tnfsf11,cGASKO_39,39,cGASKO,5,7.02081158,0.116011916,0.0518821062,0.803631828
WT_heat_up,Epha2,WT_37,37,WT,5,0.611578656,0.26680232,0.119317625,-0.837844184
WT_heat_up,Epha2,WT_39,39,WT,5,2.60882883,0.322908963,0.144409279,0.864284656
WT_heat_up,Epha2,cGASKO_37,37,cGASKO,5,0.545974928,0.256881709,0.114880993,-0.893754054
WT_heat_up,Epha2,cGASKO_39,39,cGASKO,5,2.61238292,0.194927982,0.0871744435,0.867313581
WT_heat_up,Srxn1,WT_37,37,WT,5,2.71508027,0.160198844,0.0716431008,-0.821628607
WT_heat_up,Srxn1,WT_39,39,WT,5,4.24944766,0.21223773,0.0949155982,0.933377548
WT_heat_up,Srxn1,cGASKO_37,37,cGASKO,5,2.64078605,0.13573434,0.0607022422,-0.906606177
WT_heat_up,Srxn1,cGASKO_39,39,cGASKO,5,4.12834207,0.260099376,0.116319977,0.794857236
WT_heat_up,Ebf1,WT_37,37,WT,5,0.258373774,0.489621431,0.218965361,-0.820021253
WT_heat_up,Ebf1,WT_39,39,WT,5,2.91816963,0.220134593,0.098447183,0.914114383
WT_heat_up,Ebf1,cGASKO_37,37,cGASKO,5,0.121185095,0.270546323,0.120991994,-0.909465628
WT_heat_up,Ebf1,cGASKO_39,39,cGASKO,5,2.76672054,0.297037887,0.132839381,0.815372498
